,smiles,s1_energy,t1_energy,t2_energy,s1_cal,t1_cal,s1_t1_gap,t2_t1_gap,scscore,s1_t1_gap_score,t2_t1_gap_score,total_score
5066,Cc1ccc(-c2c(-c3ccccc3)cn(-c3ccccc3)c2-c2ccccc2)cc1,4.1271,3.2196,3.6394,3.601467113262576,2.822919304012929,-2.0443714947632823,-2.7997999999999994,3.5626080040589816,0.000137289,6.817687e-05,9.674675e-05
5067,Fc1ccc(-c2csc3ncccc23)cc1,4.4227,3.2651,3.985,3.8151892358065753,2.859383706987929,-1.9035781781692829,-2.5452,3.2921377306715,0.0003087053,0.0001811012,0.0002364464
5068,Oc1ccc(-n2ccc3ccc4ccccc4c32)cc1,4.0929,3.1812,3.7397,3.5767401288545755,2.792144950732929,-2.007549772611282,-2.6227,3.238276013746459,0.00016969767,0.0001345163,0.00015108641
5069,Fc1ccccc1-c1cc(-c2cccs2)nc2cc(Cl)ccc12,3.7382,2.6571,3.1515,3.3202880420265752,2.3721231133879286,-1.423958184749282,-2.1627,3.4205458838517093,0.0048595928,0.0007855227,0.0019537965
5070,O=c1ccoc2ccc(-c3ccc(O)cc3)cc12,3.7692,3.2712,3.3599,3.342701390466575,2.8642723412329287,-2.3858432919992825,-3.1825,3.2439226903811287,1.9231264e-05,1.5697357e-05,1.7374694e-05
5071,c1c[nH]c(-c2ccc(-c3ccc(-c4cccs4)s3)s2)c1,2.9667,1.7658,2.6151,2.762484870366575,1.657821522802929,-0.5531581752392829,-0.9165,2.874950482984977,0.4217674,0.08580974,0.19024129
5072,Clc1ccccc1-c1cc2cc3ccccc3cc2o1,3.6085,2.385,3.1237,3.2265134841985748,2.1540579694429285,-1.0816024546872822,-1.6462999999999997,2.7294285783061785,0.03385045,0.005671482,0.013855765
5073,Clc1cc(Cl)cc(-c2ccc3nccn3c2)c1,3.9586,3.0233,3.6211,3.4796397193225754,2.6656014511779293,-1.8515631830332824,-2.4254999999999995,3.0211934180085267,0.00041642276,0.00028666554,0.0003455055
5074,O=C(O)c1ccc(-c2ccccc2)o1,4.4973,2.7832,4.0604,3.869125874310576,2.4731816016329287,-1.077237328955282,-1.5060000000000002,1.9790242058296668,0.03468174,0.009677798,0.018320559
5075,c1ccc2cc(-c3nc4c(ccc5nccn54)[nH]3)ccc2c1,3.3415,2.4152,2.9952,3.033469483118575,2.178260716032929,-1.3230519489472825,-1.8352,3.8419622540410536,0.008653581,0.002755086,0.0048827613
5076,O=C1c2ccccc2-c2cnccc21,3.0527,2.5932,2.6144,2.824663837006576,2.320912666132929,-1.8171614952592832,-2.572,2.6945881206970537,0.00050757336,0.00016340388,0.00028799212
